"fecha_pago","total","n","antiguedad_promedio","antiguedad_max","monto_promedio","monto_mediana","monto_max","monto_min","prop_automovil","prop_station_wagon","prop_camioneta","prop_total","prop_cuota","prop_web","tipos_distintos","marcas_distintas","dia_semana","nombre_dia","es_fin_semana","dia_mes","log_total","log_n","promedio_total_7d","promedio_n_7d","monto_por_transaccion","cambio_total","cambio_n","cambio_pct_total","cambio_pct_n","cambio_prop_web","cambio_diversidad_tipos","cambio_diversidad_marcas","total_media","total_sd","n_media","n_sd","monto_promedio_media","monto_promedio_sd","antiguedad_promedio_media","antiguedad_promedio_sd","prop_web_media","prop_web_sd","prop_automovil_media","prop_automovil_sd","prop_station_wagon_media","prop_station_wagon_sd","zscore_total","zscore_n","zscore_monto_promedio","zscore_antiguedad","zscore_prop_web","anomaly_score","tipo_anomalia","es_anomalia"
2025-01-01,600406,22,16.3636363636364,25,27291.1818181818,33260.5,33626,16819,0.0909090909090909,0.590909090909091,0.318181818181818,0.590909090909091,0.409090909090909,1,3,9,3,"miércoles",FALSE,1,13.3053630375676,3.13549421592915,4032713.07738095,88.7916666666667,27291.1818181818,161737.068965517,3,78.9137252274475,72.4460353294571,-0.00420521446593776,0,0,3427044,2041561.60505367,80.25,39.7691253780283,39478.5193615935,9212.49799252589,14.6109090909091,1.31559076591502,0.862328907048008,0.0919277130424073,0.201989274770174,0.091538404518628,0.522658324821246,0.0756911416559535,-1.38454700209119,-1.46470039198153,-1.32291344009061,1.33217266407453,1.49597429296707,1,"Extrema",TRUE
2025-01-02,3919177,88,12.8977272727273,32,44536.1022727273,35833.5,319695,0,0.113636363636364,0.579545454545455,0.0795454545454545,0.806818181818182,0.193181818181818,0.840909090909091,10,26,4,"jueves",FALSE,2,15.1813924959003,4.48863636973214,4032713.07738095,88.7916666666667,44536.1022727273,3318771,66,552.754469475655,300,-0.159090909090909,7,17,6009205.4,1771640.56553165,123.2,50.4152754628991,51682.1260843731,17228.7056214887,14.2043421426542,0.85655696091953,0.75835390100096,0.0802299885663877,0.199720190295638,0.0638854605278547,0.524212675644901,0.0964343129566154,-1.17971356072152,-0.698199699532215,-0.414774268431139,-1.52524864623102,1.02770075511594,0.322480620155039,"Normal",FALSE
2025-01-03,3301034,73,14.3013698630137,42,45219.6438356164,35849,205591,2776,0.36986301369863,0.36986301369863,0.0136986301369863,0.876712328767123,0.123287671232877,0.835616438356164,9,21,5,"viernes",FALSE,3,15.0097466136267,4.30406509320417,4032713.07738095,88.7916666666667,45219.6438356164,-618143,-15,-15.7722654526703,-17.0454545454545,-0.00529265255292655,-1,-5,5077400.6,1127484.22194029,112.2,22.151749366585,45220.6622788956,3848.42042258329,14.6818194935885,0.769541673952581,0.809357675967197,0.0911655799699419,0.32165706985642,0.0478583239797555,0.464471787681134,0.0665102665982139,-1.57551348859277,-1.76960394372902,-0.000264639291161188,-0.494320465549824,0.287718134236545,0.638759689922481,"Moderada",TRUE
2025-01-04,972306,26,15.7307692307692,27,37396.3846153846,35855,98244,11105,0.307692307692308,0.5,0.115384615384615,0.730769230769231,0.269230769230769,1,5,12,6,"sábado",TRUE,4,13.7874268771959,3.29583686600433,4032713.07738095,88.7916666666667,37396.3846153846,-2328728,-47,-70.5454109227594,-64.3835616438356,0.164383561643836,-4,-9,1370424.25,626238.750315125,32.5,11.5036226178249,41148.4340886655,4193.68043212818,14.7685163536227,1.57284790892008,1,0,0.280633816538072,0.113813213152118,0.446829618372172,0.107131787069876,-0.635729184334398,-0.565034486308658,-0.894691296710861,0.611751267597371,0,0.406201550387597,"Normal",FALSE
2025-01-05,654373,19,12.6842105263158,22,34440.6842105263,35862,94419,2776,0.368421052631579,0.578947368421053,0,0.368421052631579,0.631578947368421,1,3,11,7,"domingo",TRUE,5,13.39143433243,2.99573227355399,4032713.07738095,88.7916666666667,34440.6842105263,-317933,-7,-32.6988622923236,-26.9230769230769,0,-2,-1,923110.75,365945.358590938,18.75,4.5,48458.77817139,10538.1931371383,14.1683535762483,3.40007228311304,1,0,0.325826585695007,0.0888617150474384,0.507295883940621,0.161937894399953,-0.734365783354462,0.0555543210150886,-1.33021796482737,-0.43649054411258,0,0.877519379844961,"Extrema",TRUE
2025-01-06,4651140,89,15.0224719101124,33,52260,35872,594000,2776,0.179775280898876,0.50561797752809,0.146067415730337,0.853932584269663,0.146067415730337,0.696629213483146,9,22,1,"lunes",FALSE,6,15.3526231238078,4.49980967033027,4032713.07738095,88.7916666666667,52260,3996767,70,610.778103619801,368.421052631579,-0.303370786516854,6,11,5040856.5,358034.343664124,112,17.0293863659264,45510.2031379132,4656.6860117137,14.6413004413711,0.451813521142486,0.758180418040208,0.0458751227852362,0.19613506505943,0.071618175696323,0.481705372481196,0.0941930998016404,-1.08848915414871,-1.35059857389591,1.4494850415423,0.843461084717387,-1.33879369598612,0.564341085271318,"Normal",FALSE
2025-01-07,4365287,85,13.0352941176471,34,51356.3176470588,38321,253737,3107,0.247058823529412,0.470588235294118,0.117647058823529,0.917647058823529,0.0823529411764706,0.517647058823529,11,20,2,"martes",FALSE,7,15.2891947244607,4.45434729625351,2637674.71428571,57.4285714285714,51356.3176470588,-285853,-4,-6.14586961476111,-4.49438202247191,-0.178982154659617,2,-2,4952936.5,1003567.0742528,107.25,23.5283516918065,46390.5914783161,3478.96524098311,14.1231104784178,0.787891369299335,0.667730692968631,0.107293775590877,0.277949666988662,0.032118437811031,0.449728303421628,0.0546122457671965,-0.58556076122662,-0.945663586004187,1.4273571829662,-1.38049273526691,-1.39750775423759,0.615503875968992,"Normal",FALSE
2025-01-09,8358706,207,14.9903381642512,42,40380.2222222222,35892,205852,0,0.260869565217391,0.449275362318841,0.111111111111111,0.845410628019324,0.154589371980676,0.666666666666667,14,30,4,"jueves",FALSE,9,15.9388143080272,5.33753807970132,3746003.28571429,83.8571428571429,40380.2222222222,3993419,122,91.4812473956466,143.529411764706,0.149019607843137,3,10,6009205.4,1771640.56553165,123.2,50.4152754628991,51682.1260843731,17228.7056214887,14.2043421426542,0.85655696091953,0.75835390100096,0.0802299885663877,0.199720190295638,0.0638854605278547,0.524212675644901,0.0964343129566154,1.32617227533528,1.66219133013635,-0.655992623291166,0.917515478720166,-1.14138238994668,0.768992248062015,"Moderada",TRUE
2025-01-10,5705087,126,13.8650793650794,32,45278.4682539683,35902,291251,2776,0.253968253968254,0.5,0.0952380952380952,0.888888888888889,0.0952380952380952,0.722222222222222,11,25,5,"viernes",FALSE,10,15.5568689662251,4.84418708645859,4001133.28571429,89.2857142857143,45278.4682539683,-2653619,-81,-31.7467679805941,-39.1304347826087,0.0555555555555556,-3,-5,5077400.6,1127484.22194029,112.2,22.151749366585,45220.6622788956,3848.42042258329,14.6818194935885,0.769541673952581,0.809357675967197,0.0911655799699419,0.32165706985642,0.0478583239797555,0.464471787681134,0.0665102665982139,0.556714131985051,0.622972816925011,0.015020701280802,-1.06119530185347,-0.954746069368893,0.694573643410853,"Moderada",TRUE
2025-01-11,821907,21,16.2380952380952,32,39138.4285714286,35909,98836,17347,0.142857142857143,0.428571428571429,0.238095238095238,0.571428571428571,0.428571428571429,1,6,10,6,"sábado",TRUE,11,13.6193837456334,3.09104245335832,3646972.28571429,81.8571428571429,39138.4285714286,-4883180,-105,-85.5934361737165,-83.3333333333333,0.277777777777778,-5,-15,1370424.25,626238.750315125,32.5,11.5036226178249,41148.4340886655,4193.68043212818,14.7685163536227,1.57284790892008,1,0,0.280633816538072,0.113813213152118,0.446829618372172,0.107131787069876,-0.87589158230211,-0.999676398853779,-0.479293904683024,0.934283250029209,0,0.496124031007752,"Normal",FALSE
